city_corp,ward_no,elec_coverage,raw_line
DNCC,1,99.87,Ward No. 01 100.00 1.67 2.52 0.16 0.01 0.02 0.35 86.78 7.95 0.34 0.21 99.87
DNCC,2,99.89,Ward No. 02 100.00 2.62 5.79 0.75 0.51 0.07 2.07 79.56 8.45 0.07 0.11 99.89
DNCC,3,99.93,Ward No. 03 100.00 0.86 1.97 1.17 1.05 0.03 4.70 84.84 5.03 0.04 0.31 99.93
DNCC,4,99.95,Ward No. 04 100.00 0.66 2.52 0.05 0.01 0.03 0.21 85.21 11.14 0.09 0.07 99.95
DNCC,5,99.94,Ward No. 05 100.00 1.43 4.96 0.76 0.38 0.08 12.67 70.89 7.96 0.11 0.76 99.94
DNCC,6,99.95,Ward No. 06 100.00 1.15 1.03 0.10 0.01 0.02 0.51 90.94 6.12 0.04 0.08 99.95
DNCC,7,99.93,Ward No. 07 100.00 0.86 2.01 0.37 0.02 0.01 0.34 89.70 6.53 0.09 0.07 99.93
DNCC,8,99.94,Ward No. 08 100.00 1.10 2.79 0.16 0.01 0.02 0.65 87.52 7.53 0.05 0.18 99.94
DNCC,9,99.97,Ward No. 09 100.00 0.91 5.42 0.13 0.00 0.02 0.21 85.57 7.40 0.15 0.18 99.97
DNCC,10,99.94,Ward No. 10 100.00 0.80 3.90 0.66 0.01 0.02 0.19 86.67 7.41 0.08 0.26 99.94
DNCC,11,99.94,Ward No. 11 100.00 1.50 3.34 0.33 0.01 0.03 0.78 84.90 8.87 0.09 0.15 99.94
DNCC,12,99.93,Ward No. 12 100.00 0.99 0.87 0.12 0.01 0.04 0.24 89.98 7.63 0.07 0.06 99.93
DNCC,13,99.98,Ward No. 13 100.00 1.55 0.27 0.05 0.01 0.04 0.22 89.85 7.89 0.08 0.04 99.98
DNCC,14,99.92,Ward No. 14 100.00 1.09 0.20 0.08 0.02 0.04 0.26 91.97 6.07 0.07 0.18 99.92
DNCC,15,99.84,Ward No. 15 100.00 0.95 5.63 0.40 0.02 0.06 1.97 73.36 17.02 0.09 0.50 99.84
DNCC,16,99.96,Ward No. 16 100.00 1.38 0.23 0.05 0.01 0.05 0.51 92.35 5.30 0.04 0.07 99.96
DNCC,17,99.92,Ward No. 17 100.00 1.44 1.38 0.29 0.01 0.07 0.18 84.44 12.07 0.06 0.07 99.92
DNCC,18,99.41,Ward No. 18 100.00 1.35 1.03 0.15 0.00 0.03 0.66 91.92 4.76 0.04 0.07 99.41
DNCC,19,99.96,Ward No. 19 100.00 0.58 0.12 0.08 0.01 0.02 0.35 97.13 1.52 0.05 0.14 99.96
DNCC,20,99.97,Ward No. 20 100.00 0.85 0.05 0.06 0.01 0.05 0.27 96.59 2.04 0.04 0.04 99.97
DNCC,21,99.9,Ward No. 21 100.00 1.42 0.22 0.07 0.01 0.06 0.42 93.02 4.63 0.09 0.07 99.90
DNCC,22,99.95,Ward No. 22 100.00 1.00 0.63 0.08 0.00 0.02 0.34 88.98 8.79 0.08 0.08 99.95
DNCC,23,99.97,Ward No. 23 100.00 0.97 1.79 0.22 0.01 0.03 0.44 86.28 10.05 0.06 0.15 99.97
DNCC,24,99.67,Ward No. 24 100.00 1.04 1.83 0.51 0.00 0.07 0.12 92.58 3.48 0.04 0.32 99.67
DNCC,25,99.88,Ward No. 25 100.00 1.30 0.17 0.07 0.01 0.07 0.28 94.57 3.41 0.03 0.08 99.88
DNCC,26,99.96,Ward No. 26 100.00 1.28 0.93 0.10 0.02 0.03 0.89 91.57 4.81 0.05 0.31 99.96
DNCC,27,99.99,Ward No. 27 100.00 1.36 0.39 0.54 0.02 0.04 0.72 91.29 5.51 0.06 0.06 99.99
DNCC,28,99.97,Ward No. 28 100.00 0.74 6.99 1.11 0.06 0.05 0.31 76.67 13.58 0.05 0.44 99.97
DNCC,29,99.95,Ward No. 29 100.00 0.99 0.42 0.15 1.30 0.02 4.59 85.48 5.51 0.02 1.52 99.95
DNCC,30,99.91,Ward No. 30 100.00 0.94 4.13 0.47 0.01 0.04 0.47 86.62 7.10 0.12 0.09 99.91
DNCC,31,99.96,Ward No. 31 100.00 1.37 0.02 0.02 0.17 0.05 0.82 94.20 3.13 0.04 0.17 99.96
DNCC,32,99.97,Ward No. 32 100.00 1.45 0.51 0.16 33.12 0.65 5.47 48.55 9.12 0.10 0.87 99.97
DNCC,33,99.94,Ward No. 33 100.00 1.31 7.47 0.66 0.03 0.06 0.37 56.02 33.73 0.14 0.22 99.94
DNCC,34,99.95,Ward No. 34 100.00 0.90 4.95 0.47 0.02 0.04 0.50 81.80 11.13 0.08 0.09 99.95
DNCC,35,99.74,Ward No. 35 100.00 1.05 0.72 0.09 0.02 0.04 0.23 92.53 5.20 0.05 0.08 99.74
DNCC,36,99.97,Ward No. 36 100.00 1.01 3.47 0.71 0.01 0.06 0.43 87.28 6.86 0.11 0.06 99.97
DNCC,37,99.9,Ward No. 37 100.00 0.92 1.60 0.14 0.11 0.02 0.69 81.59 14.63 0.05 0.26 99.90
DNCC,38,99.97,Ward No. 38 100.00 1.07 0.33 0.12 0.00 0.03 0.55 90.38 7.11 0.37 0.04 99.97
DNCC,39,99.94,Ward No. 39 100.00 1.29 0.96 0.17 0.02 0.75 1.06 82.74 12.84 0.06 0.11 99.94
DNCC,40,99.94,Ward No. 40 100.00 1.20 3.43 0.47 0.05 0.05 0.14 82.10 11.97 0.10 0.48 99.94
DNCC,41,99.85,Ward No. 41 100.00 1.26 10.51 0.42 0.00 0.01 0.21 66.98 20.25 0.10 0.25 99.85
DNCC,42,99.94,Ward No. 42 100.00 1.81 22.54 2.45 0.00 0.00 0.31 0.39 72.13 0.12 0.25 99.94
DNCC,43,99.89,Ward No. 43 100.00 1.71 39.06 2.40 0.00 0.02 0.13 0.58 55.75 0.04 0.30 99.89
DNCC,44,99.91,Ward No. 44 100.00 2.06 21.97 0.98 0.03 0.00 0.04 29.89 44.83 0.09 0.13 99.91
DNCC,45,99.87,Ward No. 45 100.00 0.96 2.20 0.55 0.01 0.01 0.26 77.01 18.79 0.05 0.16 99.87
DNCC,46,99.83,Ward No. 46 100.00 3.12 17.18 1.48 0.02 0.00 0.17 44.82 32.70 0.17 0.35 99.83
