city_corp,ward_no,hh_total,hh_general,pop_total,hh_size,elec_coverage,NAME_4
DSCC,1,17949.0,16775.0,70477.0,3.86,99.67,Ward No-01
DSCC,2,27541.0,26510.0,105456.0,3.83,99.96,Ward No-02
DSCC,3,43067.0,40668.0,161606.0,3.73,99.95,Ward No-03
DSCC,4,22353.0,21495.0,87903.0,3.92,99.97,Ward No-04
DSCC,5,17704.0,16932.0,69386.0,3.9,99.95,Ward No-05
DSCC,6,19134.0,17952.0,72195.0,3.81,99.95,Ward No-06
DSCC,7,14185.0,13158.0,56422.0,3.89,99.98,Ward No-07
DSCC,8,9071.0,6604.0,32835.0,3.84,99.98,Ward No-08
DSCC,9,8505.0,4416.0,30294.0,3.77,99.84,Ward No-09
DSCC,10,4865.0,4625.0,20428.0,4.13,99.85,Ward No-10
DSCC,11,14013.0,13357.0,55653.0,3.93,99.56,Ward No-11
DSCC,12,14615.0,13730.0,56118.0,3.81,99.96,Ward No-12
DSCC,13,11961.0,10205.0,52585.0,4.11,99.91,Ward No-13
DSCC,14,28335.0,26231.0,107230.0,3.72,99.92,Ward No-14
DSCC,15,19920.0,16903.0,75148.0,3.81,99.92,Ward No-15
DSCC,16,20997.0,16898.0,77094.0,3.72,99.93,Ward No-16
DSCC,17,15647.0,12757.0,54193.0,3.5,99.99,Ward No-17
DSCC,18,11857.0,9824.0,54210.0,4.01,99.97,Ward No-18
DSCC,19,14930.0,13207.0,58000.0,3.95,99.96,Ward No-19
DSCC,20,5065.0,4185.0,28631.0,3.47,99.9,Ward No-20
DSCC,21,4416.0,3761.0,35218.0,4.41,100.0,Ward No-21
DSCC,22,25215.0,24468.0,93237.0,3.65,99.95,Ward No-22
DSCC,23,12568.0,11548.0,47010.0,3.74,99.93,Ward No-23
DSCC,24,16568.0,15759.0,64277.0,3.88,99.95,Ward No-24
DSCC,25,8278.0,7337.0,31420.0,3.88,99.92,Ward No-25
DSCC,26,10506.0,9655.0,43318.0,3.68,99.96,Ward No-26
DSCC,27,7537.0,6393.0,29572.0,3.74,99.91,Ward No-27
DSCC,28,5294.0,4255.0,20291.0,4.03,99.98,Ward No-28
DSCC,29,14425.0,12498.0,55010.0,3.91,99.9,Ward No-29
DSCC,30,3990.0,3079.0,15921.0,3.89,99.9,Ward No-30
DSCC,31,5124.0,4706.0,20255.0,3.89,99.75,Ward No-31
DSCC,32,7723.0,6629.0,32307.0,4.24,99.95,Ward No-32
DSCC,33,16148.0,13871.0,64566.0,3.9,99.96,Ward No-33
DSCC,34,10415.0,7269.0,44877.0,4.06,99.9,Ward No-34
DSCC,35,6105.0,4796.0,25440.0,4.01,100.0,Ward No-35
DSCC,36,6098.0,4954.0,25734.0,4.2,99.92,Ward No-36
DSCC,37,2771.0,2111.0,14190.0,4.36,99.95,Ward No-37
DSCC,38,9252.0,7649.0,36259.0,4.07,99.91,Ward No-38
DSCC,39,11841.0,10758.0,44386.0,3.79,99.93,Ward No-39
