year,district,yield_mton_ha,linear_residual,poly_residual,loess_residual,z_score,deficit
1970,Rajshahi Division,1.210414391076191,0.4127676752852869,0.19478050726882312,0.0719273375389875,0.7966716876545471,False
1971,Rajshahi Division,1.26420476547817,0.4260902591737059,0.23475732677759797,0.13029787298886264,1.36240377818358,False
1974,Rajshahi Division,1.027399828198296,0.06788195035316602,-0.05055038402398071,-0.09952253278810108,-0.8650347334621178,False
1975,Rajshahi Division,1.034347815549852,0.03436214719117636,-0.062124024126417154,-0.09129567579247211,-0.7852993503488808,False
1976,Rajshahi Division,1.050945922743605,0.010492463871369484,-0.06522456252753583,-0.0731153621305971,-0.6090942363279833,False
1977,Rajshahi Division,1.074826878808237,-0.006094370577558683,-0.06221927019729079,-0.0468793215437624,-0.3548123460900499,False
1978,Rajshahi Division,1.14281030621086,0.02142126631151875,-0.016288524669478832,0.023441868008929,0.32674647922337446,False
1979,Rajshahi Division,1.128687759613169,-0.0331690707997323,-0.05364077128286038,0.0020201841561173772,0.11912573537890334,False
1980,Rajshahi Division,1.115283969646711,-0.08704065127975036,-0.09145127940452391,-0.0335941161540092,-0.22605102909464914,False
1981,Rajshahi Division,1.172167572779775,-0.07062483866023217,-0.06015141256708989,0.000365406808488844,0.10308749552006406,False
1982,Rajshahi Division,1.172254035906796,-0.11100616604677094,-0.08682570387566835,-0.022198879230437063,-0.11560744386521327,False
1983,Rajshahi Division,1.183636908032252,-0.14009108443487506,-0.10338060432623664,-0.034854617827201784,-0.2382679162825858,False
1984,Rajshahi Division,1.278410169104109,-0.0857856138765638,-0.03772213397128299,0.029577647013556474,0.3862149603082002,False
1985,Rajshahi Division,1.280757508637395,-0.12390606485683775,-0.06566660329441532,-0.00864418564890812,0.015765775127165135,False
1986,Rajshahi Division,1.330338808121738,-0.11479255588605475,-0.047554130806460426,-0.010216316797507341,0.000528549111881951,False
1987,Rajshahi Division,1.271383798398453,-0.21421535612288545,-0.13915498566701268,-0.12820798505588726,-1.1430565256925707,True
1988,Rajshahi Division,1.212851537624811,-0.31321540741008747,-0.23151010971743702,-0.248077158121071,-2.304838533438362,True
1989,Rajshahi Division,1.433669798593206,-0.13286493695525237,-0.04569173016670347,-0.08487726638622406,-0.7230915918748118,False
1990,Rajshahi Division,1.655520904132153,0.048518378070148804,0.1399824758146122,0.08520426138927095,0.9253527392797417,False
1991,Rajshahi Division,1.786136449149346,0.1386661325737819,0.23324410313374955,0.170499526596529,1.7520415528399333,False
1992,Rajshahi Division,1.794304876073257,0.10636676898413278,0.20288159421963492,0.13731461823762237,1.4304106574711504,False
1993,Rajshahi Division,1.899061852722009,0.17065595511933895,0.26793061689039166,0.2002928448031598,2.040800874009909,False
1994,Rajshahi Division,1.810290125177528,0.04141643706129816,0.13827391722749116,0.06839764101933077,0.7624615750419391,False
1995,Rajshahi Division,1.601867673323739,-0.20747380530605097,-0.11221052488559691,-0.1817722577230878,-1.6622059170786543,True
1996,Rajshahi Division,1.541639817332705,-0.3081694518106306,-0.21567738927544466,-0.27940227275372487,-2.6084441531334406,True
1997,Rajshahi Division,1.705849623270074,-0.18442743638682169,-0.09588360987731415,-0.14810333970695355,-1.3358839598049355,True
1998,Rajshahi Division,1.794486888997075,-0.13625796117338052,-0.052839388829521106,-0.092055454639147,-0.7926631902032921,False
1999,Rajshahi Division,1.977717646411595,0.006505005727593716,0.0836213057653663,0.05405679826849963,0.6234689328321925,False
2000,Rajshahi Division,2.03743689810938,0.025756466911818432,0.09539347650354868,0.06867477221629481,0.7651475536816916,False
2001,Rajshahi Division,2.169598474378478,0.11745025266735665,0.17843095367216533,0.14828453373287953,1.5367319919976772,False
2002,Rajshahi Division,2.073830034094853,-0.018785978129814307,0.03236139614808886,-0.003992571034858283,0.06084961134109941,False
2003,Rajshahi Division,2.152907049312634,0.019823246574406816,0.05996027598544895,0.018753348111522516,0.28130495392977,False
2004,Rajshahi Division,2.104086165150289,-0.06946542810149792,-0.041515761697286546,-0.0845953330614746,-0.720359070612654,False
2005,Rajshahi Division,2.16058721077935,-0.053432172985982795,-0.03884688772904088,-0.07892384975841304,-0.6653905821327633,False
2006,Rajshahi Division,2.298478097337129,0.04399092305823604,0.044034809027498234,0.011503242606780706,0.21103632760757635,False
2007,Rajshahi Division,2.241319615310383,-0.05363534948206983,-0.06930988094091184,-0.09287641086205012,-0.8006199662828029,False
2008,Rajshahi Division,2.50507056764446,0.16964781233846127,0.1370778453115311,0.12279147862281059,1.2896511788744869,False
2009,Rajshahi Division,2.522295039517361,0.14640449369780262,0.09576207296237405,0.09156826443596033,0.9870331867861457,False
2010,Rajshahi Division,2.522086909153995,0.10572857282087655,0.035836680236979834,0.04237515109724255,0.5102494356306815,False
2011,Rajshahi Division,2.502847444941965,0.046021318095300856,-0.044297064477047954,-0.025863873287006456,-0.15112887147281145,False
2012,Rajshahi Division,2.528363762897755,0.03106984553753067,-0.08085204516413524,-0.04901528155406787,-0.37551424838721503,False
2013,Rajshahi Division,2.663847416723655,0.12608570884987103,-0.008616708121081729,0.03827693814743327,0.4705292144324414,False
2014,Rajshahi Division,2.638946147076141,0.06071664868881088,-0.09794331269141265,-0.03431986737929815,-0.23308507040885476,False
2015,Rajshahi Division,2.70531126022066,0.08661397131977022,-0.09718055261013436,-0.015137246386752068,-0.04716551026950325,False
