year,district,rainfall_mm
1984,Naogaon,1671.9010821350687
1985,Naogaon,1528.7468980137273
1986,Naogaon,1461.038812190591
1987,Naogaon,1960.2199840128062
1988,Naogaon,1428.0080388403267
1989,Naogaon,1148.0556063040276
1990,Naogaon,1301.2255458654477
1991,Naogaon,1475.3318298795807
1992,Naogaon,889.3755909096042
1993,Naogaon,1292.890565928092
1994,Naogaon,919.3396826809401
1995,Naogaon,1353.854596440614
1996,Naogaon,1271.7172495822879
1997,Naogaon,1325.8369318204059
1998,Naogaon,1595.1200536012204
1999,Naogaon,1640.765022371099
2000,Naogaon,1323.8894734786934
2001,Naogaon,1323.420520442215
2002,Naogaon,1383.9524479907934
2003,Naogaon,1231.510612375912
2004,Naogaon,1535.7867479816698
2005,Naogaon,1491.737214509094
2006,Naogaon,832.4027993432254
2007,Naogaon,1419.7624738563684
2008,Naogaon,1309.2991933660255
2009,Naogaon,1172.2258290409804
2010,Naogaon,1111.423318548654
2011,Naogaon,1323.9150654627806
2012,Naogaon,1223.5202614502305
2013,Naogaon,986.7303652455105
2014,Naogaon,1141.7312160109527
2015,Naogaon,1245.0687385845074
2016,Naogaon,1150.337203868369
2017,Naogaon,1714.6316907668481
2018,Naogaon,873.6644948519017
2019,Naogaon,1399.5540505191339
2020,Naogaon,1645.6024093392539
2021,Naogaon,1402.9560405106645
2022,Naogaon,1134.6582999742848
1984,Natore,1698.1560133175997
1985,Natore,1370.0859424763173
1986,Natore,1534.3795367234484
1987,Natore,1689.6825255969147
1988,Natore,1346.8523827428862
1989,Natore,1076.0631713276828
1990,Natore,1390.4339045529834
1991,Natore,1498.75587237625
1992,Natore,933.1246851455544
1993,Natore,1469.6793044088604
1994,Natore,911.5827030294708
1995,Natore,1587.567090965547
1996,Natore,1250.828725597873
1997,Natore,1389.9048361983319
1998,Natore,1485.5510664229353
1999,Natore,1723.004292186311
2000,Natore,1250.9631756783924
2001,Natore,1204.5837448183647
2002,Natore,1437.2529051198073
2003,Natore,1295.9686276046598
2004,Natore,1588.6947347399896
2005,Natore,1553.4315867487944
2006,Natore,854.4971909388865
2007,Natore,1444.5102254898884
2008,Natore,1326.1630671600574
2009,Natore,1227.6176643662443
2010,Natore,1107.863667744151
2011,Natore,1300.6392574036797
2012,Natore,1242.0098880401163
2013,Natore,1017.2763209665967
2014,Natore,1100.437707800865
2015,Natore,1286.7844568567498
2016,Natore,1088.132319458422
2017,Natore,1800.476769048426
2018,Natore,960.3341553512505
2019,Natore,1314.558168430695
2020,Natore,1380.5857129548635
2021,Natore,1394.8863139296013
2022,Natore,1063.2883432546919
1984,Nawabganj,1559.1988906117558
1985,Nawabganj,1423.1648413560474
1986,Nawabganj,1388.5590701417896
1987,Nawabganj,1772.6816807387354
1988,Nawabganj,1324.4927927015012
1989,Nawabganj,1087.1633083603854
1990,Nawabganj,1296.6664368458878
1991,Nawabganj,1307.492798170261
1992,Nawabganj,859.0041524675968
1993,Nawabganj,1147.5523061075642
1994,Nawabganj,787.2975721958783
1995,Nawabganj,1260.6789077388555
1996,Nawabganj,1150.2211865973281
1997,Nawabganj,1369.9822520761224
1998,Nawabganj,1523.9400904677143
1999,Nawabganj,1575.9936325362396
2000,Nawabganj,1237.7110776609547
2001,Nawabganj,1229.754604716996
2002,Nawabganj,1338.8296821612614
2003,Nawabganj,1061.1509114856356
2004,Nawabganj,1376.86283066338
2005,Nawabganj,1412.6793279256126
2006,Nawabganj,842.6048473714483
2007,Nawabganj,1377.7221195138532
2008,Nawabganj,1218.92790199796
2009,Nawabganj,1070.1235249355877
2010,Nawabganj,1070.2602679321844
2011,Nawabganj,1263.976476157667
2012,Nawabganj,1117.7731260712806
2013,Nawabganj,958.7828183924879
2014,Nawabganj,1066.756547982205
2015,Nawabganj,1290.2155804738672
2016,Nawabganj,1122.9126895478212
2017,Nawabganj,1695.0710596206832
2018,Nawabganj,797.9116330248925
2019,Nawabganj,1286.7920794204902
2020,Nawabganj,1544.232883468191
2021,Nawabganj,1362.3794873690154
2022,Nawabganj,1013.5035391854707
1984,Rajshahi,1593.1616573904548
1985,Rajshahi,1318.4582036144905
1986,Rajshahi,1386.005198329409
1987,Rajshahi,1766.0495959139678
1988,Rajshahi,1308.0889047885403
1989,Rajshahi,1038.4926265615497
1990,Rajshahi,1315.702195181666
1991,Rajshahi,1380.7779466544193
1992,Rajshahi,886.097936189838
1993,Rajshahi,1232.0618638495048
1994,Rajshahi,840.42095830066
1995,Rajshahi,1409.999862149182
1996,Rajshahi,1153.7406643882252
1997,Rajshahi,1374.404206195509
1998,Rajshahi,1457.4772911234706
1999,Rajshahi,1612.393841342297
2000,Rajshahi,1147.9353299788716
2001,Rajshahi,1148.1432747765223
2002,Rajshahi,1362.0600060680752
2003,Rajshahi,1123.6288530655356
2004,Rajshahi,1439.4234128167288
2005,Rajshahi,1407.8015894015762
2006,Rajshahi,808.6923541177762
2007,Rajshahi,1349.1400624057121
2008,Rajshahi,1276.3567439517255
2009,Rajshahi,1094.2741513433834
2010,Rajshahi,1003.1353833346529
2011,Rajshahi,1261.4138852576416
2012,Rajshahi,1144.826692991279
2013,Rajshahi,921.849987476143
2014,Rajshahi,1005.8155456052218
2015,Rajshahi,1236.744950998144
2016,Rajshahi,1056.4837677295836
2017,Rajshahi,1773.7062873016903
2018,Rajshahi,920.1216406812658
2019,Rajshahi,1293.936854196879
2020,Rajshahi,1479.0574731057923
2021,Rajshahi,1346.1126859345302
2022,Rajshahi,1035.2323266543603
