year,tws_anomaly,image_count
2002,-10.704911515721449,2
2003,-11.4119359761119,4
2004,-12.853988909971605,4
2005,-16.63413248635046,4
2006,-24.46628062906022,4
2007,-19.68890071898279,4
2008,-15.565288385044425,4
2009,-24.878555303102466,4
2010,-24.360304986394816,4
2011,-29.33370297377489,4
2012,-26.951218887680128,3
2013,-28.766970551202775,3
2014,-29.6719165500683,3
2015,-21.89743843177259,5
2016,-22.61999856606267,4
2017,-20.081247694791628,5
2018,,0
2019,-26.090995164474318,4
2020,-22.3605988077371,4
2021,-25.015035842184176,4
2022,-13.260136353922617,4
2023,-27.30396996566341,4
2024,-26.75735609764285,4
