region,year,tws,n_images
Barind Tract (NW),2002,-10.704911515721449,2
Barind Tract (NW),2003,-11.4119359761119,4
Barind Tract (NW),2004,-12.853988909971605,4
Barind Tract (NW),2005,-16.63413248635046,4
Barind Tract (NW),2006,-24.46628062906022,4
Barind Tract (NW),2007,-19.68890071898279,4
Barind Tract (NW),2008,-15.565288385044425,4
Barind Tract (NW),2009,-24.878555303102466,4
Barind Tract (NW),2010,-24.360304986394816,4
Barind Tract (NW),2011,-29.33370297377489,4
Barind Tract (NW),2012,-26.951218887680128,3
Barind Tract (NW),2013,-28.766970551202775,3
Barind Tract (NW),2014,-29.6719165500683,3
Barind Tract (NW),2015,-21.89743843177259,5
Barind Tract (NW),2016,-22.61999856606267,4
Barind Tract (NW),2017,-20.081247694791628,5
Barind Tract (NW),2018,,0
Barind Tract (NW),2019,-26.090995164474318,4
Barind Tract (NW),2020,-22.3605988077371,4
Barind Tract (NW),2021,-25.015035842184176,4
Barind Tract (NW),2022,-13.260136353922617,4
Barind Tract (NW),2023,-27.30396996566341,4
Barind Tract (NW),2024,-26.75735609764285,4
Haor Basin (NE),2002,-11.224976830426883,2
Haor Basin (NE),2003,-19.57039200600274,4
Haor Basin (NE),2004,-18.027473078562434,4
Haor Basin (NE),2005,-21.077943653433586,4
Haor Basin (NE),2006,-29.642451876019496,4
Haor Basin (NE),2007,-23.3969581541006,4
Haor Basin (NE),2008,-15.493542671371795,4
Haor Basin (NE),2009,-25.61346702928148,4
Haor Basin (NE),2010,-18.421598179290744,4
Haor Basin (NE),2011,-24.275702882741633,4
Haor Basin (NE),2012,-25.29740471322495,3
Haor Basin (NE),2013,-21.109945702935704,3
Haor Basin (NE),2014,-34.06890335850149,3
Haor Basin (NE),2015,-29.178207004038413,5
Haor Basin (NE),2016,-22.15663981989783,4
Haor Basin (NE),2017,-9.096210818512496,5
Haor Basin (NE),2018,,0
Haor Basin (NE),2019,-18.133891797645408,4
Haor Basin (NE),2020,-14.900563768370718,4
Haor Basin (NE),2021,-15.74716853602708,4
Haor Basin (NE),2022,-2.9041674099486277,4
Haor Basin (NE),2023,-13.968051837545115,4
Haor Basin (NE),2024,-14.15761050189904,4
Coastal South (SW),2002,-11.710568396258912,2
Coastal South (SW),2003,-11.586020488775466,4
Coastal South (SW),2004,-10.09616447905257,4
Coastal South (SW),2005,-13.51236603931849,4
Coastal South (SW),2006,-18.33784961977909,4
Coastal South (SW),2007,-14.841445868232293,4
Coastal South (SW),2008,-10.305804408561453,4
Coastal South (SW),2009,-16.92092221454353,4
Coastal South (SW),2010,-18.547123369133963,4
Coastal South (SW),2011,-21.18919762007661,4
Coastal South (SW),2012,-16.66907544721809,3
Coastal South (SW),2013,-19.152512531868478,3
Coastal South (SW),2014,-22.291451742404956,3
Coastal South (SW),2015,-17.562856106841263,5
Coastal South (SW),2016,-18.605692697596407,4
Coastal South (SW),2017,-17.530914727311277,5
Coastal South (SW),2018,,0
Coastal South (SW),2019,-20.07721248326528,4
Coastal South (SW),2020,-15.673411044321425,4
Coastal South (SW),2021,-18.472801168452655,4
Coastal South (SW),2022,-9.744270423688159,4
Coastal South (SW),2023,-20.80959903908154,4
Coastal South (SW),2024,-19.580768789752433,4
Central Floodplain,2002,-11.109371805012442,2
Central Floodplain,2003,-19.47608175840776,4
Central Floodplain,2004,-17.97982807705711,4
Central Floodplain,2005,-21.097249962892427,4
Central Floodplain,2006,-29.653660234489124,4
Central Floodplain,2007,-23.426023869793422,4
Central Floodplain,2008,-15.48629444283335,4
Central Floodplain,2009,-25.634229689552576,4
Central Floodplain,2010,-18.446747511053527,4
Central Floodplain,2011,-24.36021393708199,4
Central Floodplain,2012,-25.35961739535251,3
Central Floodplain,2013,-21.09848194517203,3
Central Floodplain,2014,-34.13003155687637,3
Central Floodplain,2015,-29.153653229720298,5
Central Floodplain,2016,-22.11387319415216,4
Central Floodplain,2017,-9.143596958505524,5
Central Floodplain,2018,,0
Central Floodplain,2019,-18.11329926902764,4
Central Floodplain,2020,-14.845767517392778,4
Central Floodplain,2021,-15.662344435059664,4
Central Floodplain,2022,-2.7136595016209055,4
Central Floodplain,2023,-13.911357301718219,4
Central Floodplain,2024,-14.11838515764654,4
