year,district,tws_anomaly
2002,Naogaon,-0.09985518124479055
2002,Natore,-0.10838312640996324
2002,Nawabganj,-0.10041934439669138
2002,Rajshahi,-0.1004854867495904
2003,Naogaon,-0.11691276846284862
2003,Natore,-0.12348035955528758
2003,Nawabganj,-0.11690432213813329
2003,Rajshahi,-0.11695893872442327
2004,Naogaon,-0.10578734424150216
2004,Natore,-0.11495266176550516
2004,Nawabganj,-0.10512205804973343
2004,Rajshahi,-0.10520370509370014
2005,Naogaon,-0.12404589453643762
2005,Natore,-0.13092410317737957
2005,Nawabganj,-0.12399658527057622
2005,Rajshahi,-0.12405412104106095
2006,Naogaon,-0.16491575799520247
2006,Natore,-0.17366661452589874
2006,Nawabganj,-0.16338721296840958
2006,Rajshahi,-0.1634725874555908
2007,Naogaon,-0.14834966105861716
2007,Natore,-0.15505661196990134
2007,Nawabganj,-0.14730589966090815
2007,Rajshahi,-0.1473702723858152
2008,Naogaon,-0.14214147663720522
2008,Natore,-0.14595400253229715
2008,Nawabganj,-0.14153524890201413
2008,Rajshahi,-0.14157194839498127
2009,Naogaon,-0.19992666208420137
2009,Natore,-0.20400057772054558
2009,Nawabganj,-0.199335090954206
2009,Rajshahi,-0.19937383966325284
2010,Naogaon,-0.2221094702161303
2010,Natore,-0.22299143137696706
2010,Nawabganj,-0.22163828193235557
2010,Rajshahi,-0.22164952037257674
2011,Naogaon,-0.22798862158013747
2011,Natore,-0.22671964613880002
2011,Nawabganj,-0.22839702187709535
2011,Rajshahi,-0.22838309060953407
2012,Naogaon,-0.21180361065185763
2012,Natore,-0.22089001520589
2012,Nawabganj,-0.2089146369943656
2012,Rajshahi,-0.20901409723705502
2013,Naogaon,-0.24507802676954477
2013,Natore,-0.24755462660295316
2013,Nawabganj,-0.24382653988415892
2013,Rajshahi,-0.2438575031158222
2014,Naogaon,-0.23942687335970161
2014,Natore,-0.24894431448304455
2014,Nawabganj,-0.2361974887332445
2014,Rajshahi,-0.23630335615222714
2015,Naogaon,-0.22184957038355124
2015,Natore,-0.23089833635717014
2015,Nawabganj,-0.2189466402166323
2015,Rajshahi,-0.21904590377037494
2016,Naogaon,-0.2592288514386158
2016,Natore,-0.2522186734909463
2016,Nawabganj,-0.25960881883844134
2016,Rajshahi,-0.25954744076446407
2017,Naogaon,-0.2247772167946751
2017,Natore,-0.2151783941347713
2017,Nawabganj,-0.22622796949452986
2017,Rajshahi,-0.22613619840993568
