year,district,yield_mton_ha,loess_residual,z_score,deficit,rainfall_mm,rainfall_mm_anomaly,ndvi_mean,ndvi_mean_anomaly
1970,Rajshahi Division,1.210414391076191,0.0719273375389875,0.7966716876545471,False,,,,
1971,Rajshahi Division,1.26420476547817,0.1302978729888626,1.36240377818358,False,,,,
1974,Rajshahi Division,1.027399828198296,-0.099522532788101,-0.8650347334621178,False,,,,
1975,Rajshahi Division,1.034347815549852,-0.0912956757924721,-0.7852993503488808,False,,,,
1976,Rajshahi Division,1.050945922743605,-0.0731153621305971,-0.6090942363279833,False,,,,
1977,Rajshahi Division,1.074826878808237,-0.0468793215437624,-0.3548123460900499,False,,,,
1978,Rajshahi Division,1.14281030621086,0.023441868008929,0.3267464792233744,False,,,,
1979,Rajshahi Division,1.128687759613169,0.0020201841561173,0.1191257353789033,False,,,,
1980,Rajshahi Division,1.115283969646711,-0.0335941161540092,-0.2260510290946491,False,,,,
1981,Rajshahi Division,1.172167572779775,0.0003654068084888,0.103087495520064,False,,,,
1982,Rajshahi Division,1.172254035906796,-0.022198879230437,-0.1156074438652132,False,,,,
1983,Rajshahi Division,1.183636908032252,-0.0348546178272017,-0.2382679162825858,False,,,,
1984,Rajshahi Division,1.278410169104109,0.0295776470135564,0.3862149603082002,False,1630.6044108637197,1.479930004243973,,
1985,Rajshahi Division,1.280757508637395,-0.0086441856489081,0.0157657751271651,False,1410.1139713651455,0.5343876875607505,,
1986,Rajshahi Division,1.330338808121738,-0.0102163167975073,0.0005285491118819,False,1442.4956543463095,0.6732519921253457,,
1987,Rajshahi Division,1.271383798398453,-0.1282079850558872,-1.1430565256925709,True,1797.158446565606,2.194173620106147,,
1988,Rajshahi Division,1.212851537624811,-0.248077158121071,-2.304838533438362,True,1351.8605297683137,0.28457597578086014,,
1989,Rajshahi Division,1.433669798593206,-0.084877266386224,-0.7230915918748118,False,1087.4436781384113,-0.849338596791065,,
1990,Rajshahi Division,1.655520904132153,0.0852042613892709,0.9253527392797416,False,1326.0070206114963,0.17370682880958713,,
1991,Rajshahi Division,1.786136449149346,0.170499526596529,1.7520415528399331,False,1415.5896117701277,0.5578692032474413,,
1992,Rajshahi Division,1.794304876073257,0.1373146182376223,1.4304106574711504,False,891.9005911781484,-1.6878976920346997,,
1993,Rajshahi Division,1.899061852722009,0.2002928448031598,2.040800874009909,False,1285.5460100735054,0.00019546148482127334,,
1994,Rajshahi Division,1.810290125177528,0.0683976410193307,0.7624615750419391,False,864.6602290517372,-1.8047141634013109,,
1995,Rajshahi Division,1.601867673323739,-0.1817722577230878,-1.6622059170786545,True,1403.0251143235496,0.5039881186497813,,
