year,district,ndvi_mean
2000,Naogaon,0.49511851813683594
2001,Naogaon,0.5242292343576535
2002,Naogaon,0.5350642162984046
2003,Naogaon,0.526917321439558
2004,Naogaon,0.5029362964051037
2005,Naogaon,0.5232816774181317
2006,Naogaon,0.5612592492500811
2007,Naogaon,0.5186890392316512
2008,Naogaon,0.522043750181157
2009,Naogaon,0.5477206820762448
2010,Naogaon,0.5653254243555627
2011,Naogaon,0.5428692278599466
2012,Naogaon,0.5955491731404456
2013,Naogaon,0.5866395304817937
2014,Naogaon,0.5834484285532625
2015,Naogaon,0.5758925143421214
2016,Naogaon,0.6241768021306731
2017,Naogaon,0.612945516719715
2018,Naogaon,0.6073728072891897
2019,Naogaon,0.6424243860505423
2020,Naogaon,0.5851672875205773
2021,Naogaon,0.6361579809669514
2022,Naogaon,0.6572900232700593
2000,Natore,0.5141159889174655
2001,Natore,0.5232511783669733
2002,Natore,0.5338913875378424
2003,Natore,0.5332348429974247
2004,Natore,0.4987937920758711
2005,Natore,0.5208394517087919
2006,Natore,0.5757874915048846
2007,Natore,0.5037903126893597
2008,Natore,0.5298129027979459
2009,Natore,0.5615025871752672
2010,Natore,0.601840920020233
2011,Natore,0.578958263624227
2012,Natore,0.6040153584777596
2013,Natore,0.6044454147831828
2014,Natore,0.6013238375003259
2015,Natore,0.6024535824601822
2016,Natore,0.6300045034198213
2017,Natore,0.6313996504279589
2018,Natore,0.5959580289275686
2019,Natore,0.6333259000282447
2020,Natore,0.599975721291731
2021,Natore,0.6431276066415567
2022,Natore,0.6436504259067782
2000,Nawabganj,0.4722012538811975
2001,Nawabganj,0.4994753222525837
2002,Nawabganj,0.5171741297314388
2003,Nawabganj,0.5069611301393935
2004,Nawabganj,0.5066448013153146
2005,Nawabganj,0.5107379651766494
2006,Nawabganj,0.5515611471749957
2007,Nawabganj,0.525336111955284
2008,Nawabganj,0.5233137409559513
2009,Nawabganj,0.5399255986191813
2010,Nawabganj,0.5710806050283652
2011,Nawabganj,0.5458062987164966
2012,Nawabganj,0.5650540399956221
2013,Nawabganj,0.5759360589934723
2014,Nawabganj,0.5815202255568824
2015,Nawabganj,0.5843568898178404
2016,Nawabganj,0.5994080711509943
2017,Nawabganj,0.6132376699484304
2018,Nawabganj,0.5850879747922356
2019,Nawabganj,0.6033220053099502
2020,Nawabganj,0.5889972517682327
2021,Nawabganj,0.6083567841333397
2022,Nawabganj,0.6254419879047948
2000,Rajshahi,0.49580140401283707
2001,Rajshahi,0.5336823975128526
2002,Rajshahi,0.5396546405283598
2003,Rajshahi,0.5342885343530763
2004,Rajshahi,0.5166693474303765
2005,Rajshahi,0.521666171121178
2006,Rajshahi,0.5640274971567459
2007,Rajshahi,0.5228999822045202
2008,Rajshahi,0.5319707717311422
2009,Rajshahi,0.5381131729483183
2010,Rajshahi,0.5749317591079774
2011,Rajshahi,0.540139495318812
2012,Rajshahi,0.5833421656220956
2013,Rajshahi,0.5790858905688372
2014,Rajshahi,0.5709391592653755
2015,Rajshahi,0.5850932731662615
2016,Rajshahi,0.6078230345243114
2017,Rajshahi,0.6172816502695097
2018,Rajshahi,0.5860759951632799
2019,Rajshahi,0.6233695590822702
2020,Rajshahi,0.5828315856768713
2021,Rajshahi,0.6123144987287537
2022,Rajshahi,0.6189391984576255
