GID_4,pop_2000,pop_2005,pop_2010,pop_2015,pop_2020,built_2000,built_2010,built_2020
BGD.3.1.4.2_1+BGD.3.1.46.1_1,104089.6316475953,128207.00928401576,153399.920202589,180324.07219762515,217159.1445176593,2583876.5568627473,2725194.6313725505,2789333.227450981
BGD.3.1.31.1_1,13678.272881982844,16230.943428234024,19681.214355513628,23289.332638796634,26545.61500585967,675768.9137254901,710765.4470588234,741125.3725490196
BGD.3.1.31.2_1,15118.571771329993,17508.090187371945,22326.19109305588,27253.289109652647,35382.55711292942,413316.2039215687,417641.36078431376,419371.16078431386
BGD.3.1.18.1_1,38499.371686359475,44342.397367440004,49441.72829649681,55106.859425383926,60131.24223818312,370862.24705882353,442798.9098039216,474281.29803921573
BGD.3.1.31.3_1,9977.720358859799,12348.38545952591,14916.456181859037,18849.713523146682,22659.87096864288,493368.9058823529,534095.9803921566,553587.1098039215
BGD.3.1.31.4_1,146199.1806199092,172582.73522056875,215140.42144239845,268960.71767455834,328844.6375129026,1204168.1254901967,1271076.129411765,1307239.7137254905
BGD.3.1.26.1_1,62287.21379586016,70381.93962812236,96563.27612974873,132249.3831965428,173533.51020609535,358517.48235294124,358673.1294117648,360221.87843137264
BGD.3.1.37.1_1,173434.32659355618,211350.70133693924,229294.30396605845,248181.98581734457,277725.3331676556,674047.4470588233,726776.6196078431,751507.333333333
BGD.3.1.8.1_1,25509.446392463233,29606.884704410328,31500.90621580236,38044.4516457352,43797.32574669333,426280.3607843135,508080.9921568627,552688.7098039213
BGD.3.1.8.2_1,30672.975381170527,36982.79586253447,41281.62198498294,46395.366879840934,54193.159120507335,424696.33725490194,451085.6431372549,465943.9960784313
BGD.3.1.26.2_1,26289.498011331,32439.75387280035,40789.9486264098,48801.98263765222,60093.52239236271,394511.79215686285,399155.93333333347,401482.53725490207
BGD.3.1.26.3_1,49608.40756225585,61990.58924728094,74786.6019111783,89797.7605119892,106290.41660090428,590231.0588235294,597917.5843137255,601694.0627450981
BGD.3.1.26.4_1,112812.03324513162,136037.66672117944,161252.6394025615,195080.58708627737,233301.17529129324,889015.8274509807,909982.6666666669,920921.2431372552
BGD.3.1.18.2_1+BGD.3.1.26.5_1,94448.79743353154,107006.54800893748,130730.33228287044,159634.4184357287,194316.29473847034,825000.9764705881,826433.2392156861,827997.0078431369
BGD.3.1.18.3_1+BGD.3.1.31.5_1+BGD.3.1.5.1_1,89977.5073413531,107712.48395884412,130099.12586969444,163822.20109873996,198951.73225093362,1458452.7137254898,1652797.047058823,1778770.2274509803
BGD.3.1.18.4_1,118086.05339684573,134230.77888967475,149316.1627004586,161639.93836553243,182420.18694559723,732437.0666666671,737833.3254901965,800826.5686274513
