GID_4,NAME_3,NAME_4,city_corp,observed,pop_total,ASI,arrivals_central,load_ratio_central,asi_rank,arrival_rank,crisis_index,crisis_tier
BGD.3.1.25.3_1,Lalbagh,Ward No-60,DSCC,True,108822.0,0.6786411047218927,22925,0.21066512286118616,0.9180327868852459,0.9016393442622951,1.0,High concern
BGD.3.1.6.3_1,Chak Bazar,Ward No-65,DSCC,True,119917.0,0.662733567163465,24670,0.20572562689193358,0.8524590163934426,0.9344262295081968,0.9622272875284922,High concern
BGD.3.1.25.4_1,Lalbagh,Ward No-61,DSCC,True,89085.0,0.7242894316211254,20029,0.22483021833080766,0.9508196721311475,0.819672131147541,0.9413871703028329,High concern
BGD.3.1.34.1_1,Rampura,Ward No-22,DNCC,True,171433.0,0.6098862298554453,32456,0.18932177585412377,0.7377049180327869,0.9836065573770492,0.8762618039726472,High concern
BGD.3.1.6.2_1,Chak Bazar,Ward No-64,DSCC,True,57231.0,0.7525007122479992,13368,0.23357970330764796,0.9672131147540983,0.6721311475409836,0.7847606642787364,High concern
BGD.3.1.25.5_1,Lalbagh,Ward No-62,DSCC,True,96852.0,0.6230086776349579,18730,0.19338784950233345,0.8032786885245902,0.7868852459016393,0.7629436665581243,High concern
BGD.3.1.33.3_1,Ramna,Ward No-55,DNCC,True,144013.0,0.5921659742958832,26472,0.18381673876663912,0.6557377049180327,0.9508196721311475,0.7525236079452945,High concern
BGD.3.1.26.3_1,Mirpur,Ward No-12,DNCC,True,135408.0,0.5751846209149436,24177,0.17854927330733783,0.6229508196721312,0.9180327868852459,0.6900032562683165,High concern
BGD.3.1.43.2_1,Tejgaon,Ward No-39,DNCC,True,74319.0,0.6186229677046549,14271,0.19202357405239576,0.7868852459016393,0.7049180327868853,0.6691631390426571,High concern
BGD.3.1.22.3_1,Khilgaon,Ward No-24,DSCC,True,64277.0,0.6587519409029123,13144,0.20448994196991147,0.8360655737704918,0.639344262295082,0.6447411266688374,Moderate concern
BGD.3.1.19.1_1,Kalabagan,Ward No-50,DSCC,True,52971.0,0.6733517694394855,11072,0.20902002982764153,0.9016393442622951,0.5409836065573771,0.588082057961576,Moderate concern
BGD.3.1.31.4_1,Pallabi,Ward No-06,DNCC,True,228316.0,0.5270253451080223,37352,0.1635978205644808,0.47540983606557374,1.0,0.5731032237056333,Moderate concern
BGD.3.1.42.2_1,Tejgaon Ind. Area,Ward No-37,DNCC,True,118586.0,0.5364045253533656,19745,0.16650363449311048,0.4918032786885246,0.8032786885245902,0.47574080104200583,Moderate concern
BGD.3.1.38.2_1,Shahbagh,Ward No-57,DSCC,True,89430.0,0.5476673589064631,15203,0.1699988818069999,0.5409836065573771,0.7213114754098361,0.46987951807228917,Moderate concern
BGD.3.1.26.2_1,Mirpur,Ward No-11,DNCC,True,114884.0,0.5217395717289116,18606,0.1619546673165976,0.45901639344262296,0.7704918032786885,0.4255942689677629,Moderate concern
BGD.3.1.31.3_1,Pallabi,Ward No-05,DNCC,True,133703.0,0.514163695244269,21340,0.15960748823885776,0.4098360655737705,0.8524590163934426,0.4203842396613481,Moderate concern
BGD.3.1.34.2_1,Rampura,Ward No-23,DNCC,True,69353.0,0.5614285744875551,12086,0.17426787593903653,0.5901639344262295,0.5901639344262295,0.4190817323347443,Moderate concern
BGD.3.1.18.4_1,Kafrul,Ward No-16,DNCC,True,144310.0,0.5059841256086244,22666,0.15706465248423532,0.3770491803278688,0.8688524590163934,0.3940084662976229,Moderate concern
BGD.3.1.26.4_1,Mirpur,Ward No-13,DNCC,True,173323.0,0.49855120113284707,26823,0.15475730283920772,0.32786885245901637,0.9672131147540983,0.3813090198632367,Moderate concern
BGD.3.1.28.4_1,Motijheel,Ward No-34,DSCC,True,44877.0,0.6043272045385819,8418,0.1875793836486396,0.7213114754098361,0.36065573770491804,0.31227613155324,Low concern
BGD.3.1.41.1_1,Sutrapur,Ward No-74,DSCC,True,64090.0,0.5400168094183295,10743,0.1676236542362303,0.5081967213114754,0.5081967213114754,0.30999674373168346,Low concern
BGD.3.1.15.3_1,Hazaribagh,Ward No-58,DSCC,True,69593.0,0.5210773340101024,11256,0.16174040492578276,0.4426229508196721,0.5573770491803278,0.2959947899706935,Low concern
BGD.3.1.2.6_1,Badda,Ward No-21,DNCC,True,89189.0,0.5024681220517723,13911,0.1559721490318313,0.3442622950819672,0.6885245901639344,0.2842722240312601,Low concern
BGD.3.1.27.3_1,Mohammadpur,Ward No-45,DNCC,True,50260.0,0.5611903920069886,8755,0.1741941902109033,0.5737704918032787,0.4098360655737705,0.2819928362097036,Low concern
BGD.3.1.22.4_1,Khilgaon,Ward No-25,DSCC,True,31420.0,0.6731967564146315,6566,0.2089751750477403,0.8852459016393442,0.26229508196721313,0.27841094106154346,Low concern
BGD.3.1.39.2_1,Sher-e-bangla Nagar,Ward No-41,DNCC,True,38608.0,0.5924295545607834,7100,0.18389970990468296,0.6721311475409836,0.3114754098360656,0.25073266037121456,Low concern
BGD.3.1.1.2_1,Adabor,Ward No-46,DNCC,True,44028.0,0.5687745552150669,7773,0.1765467429817389,0.6065573770491803,0.32786885245901637,0.23803321393682836,Low concern
BGD.3.1.3.6_1,Bangshal,Ward No-70,DSCC,True,22417.0,0.8160262084461476,5678,0.25328991390462596,1.0,0.19672131147540983,0.23542819928362094,Low concern
BGD.3.1.33.1_1,Ramna,Ward No-53,DSCC,True,65763.0,0.5076058879221517,10362,0.15756580447972265,0.39344262295081966,0.4918032786885246,0.23152067730380982,Low concern
BGD.3.1.24.4_1,Kotwali,Ward No-73,DSCC,True,46137.0,0.5565129616907981,7970,0.17274638576413726,0.5573770491803278,0.3442622950819672,0.2295669163139042,Low concern
BGD.3.1.27.2_1,Mohammadpur,Ward No-44,DNCC,True,31861.0,0.6302331385737521,6233,0.19563102225291107,0.819672131147541,0.22950819672131148,0.22500814067079125,Low concern
BGD.3.1.11.3_1,Dhanmondi,Ward No-49,DSCC,True,61292.0,0.5053638674657468,9615,0.15687202244991189,0.36065573770491804,0.45901639344262296,0.19765548681211328,Low concern
BGD.3.1.37.1_1,Shah Ali,Ward No-08,DNCC,True,145193.0,0.46602697320564146,21004,0.14466262147624195,0.19672131147540983,0.8360655737704918,0.1963529794855096,Low concern
BGD.3.1.28.2_1,Motijheel,Ward No-32,DSCC,True,32307.0,0.6169500800887214,6187,0.1915064846627666,0.7704918032786885,0.21311475409836064,0.19602735265385862,Low concern
BGD.3.1.28.5_1,Motijheel,Ward No-35,DSCC,True,25440.0,0.6647978203388647,5250,0.20636792452830188,0.8688524590163934,0.18032786885245902,0.18690980136763266,Low concern
BGD.3.1.30.1_1,New Market,Ward No-52,DSCC,True,41955.0,0.5402890356796524,7036,0.16770349183649147,0.5245901639344263,0.29508196721311475,0.18463041354607618,Low concern
BGD.3.1.46.1_1,Uttara,Ward No-01,DNCC,True,119514.0,0.46540688584516066,17266,0.14446843047676422,0.18032786885245902,0.7540983606557377,0.1618365353305112,Low concern
BGD.3.1.35.5_1,Sabujbagh,Ward No-29,DSCC,True,55010.0,0.4979100631703839,8502,0.15455371750590802,0.3114754098360656,0.39344262295081966,0.14555519374796483,Low concern
BGD.3.1.22.5_1,Khilgaon,Ward No-26,DSCC,True,43318.0,0.5159901354605423,6938,0.16016436585253244,0.4262295081967213,0.2786885245901639,0.1409964181048518,Low concern
BGD.3.1.33.2_1,Ramna,Ward No-54,DNCC,True,70120.0,0.4751508630459885,10342,0.14749001711351967,0.2459016393442623,0.47540983606557374,0.13871703028329532,Low concern
BGD.3.1.3.5_1,Bangshal,Ward No-69,DSCC,True,20157.0,0.7548211223124431,4723,0.2343106613087265,0.9836065573770492,0.11475409836065574,0.13383262780853142,Low concern
BGD.3.1.32.1_1,Paltan,Ward No-36,DSCC,True,25734.0,0.6166203801924324,4925,0.19138105230434443,0.7540983606557377,0.14754098360655737,0.13187886681862585,Low concern
BGD.3.1.24.3_1,Kotwali,Ward No-72,DSCC,True,27574.0,0.583200042413198,4991,0.18100384420105897,0.639344262295082,0.16393442622950818,0.12406382285900357,Low concern
BGD.3.1.14.1_1,Gulshan,Ward No-18,DNCC,True,63095.0,0.4733873741672058,9271,0.14693715825342737,0.22950819672131148,0.4426229508196721,0.12015630087919243,Low concern
BGD.3.1.14.2_1,Gulshan,Ward No-19,DNCC,True,121287.0,0.4482840871285881,16877,0.1391492905257777,0.13114754098360656,0.7377049180327869,0.11429501790947576,Low concern
BGD.3.1.8.1_1,Darus Salam,Ward No-09,DNCC,True,76440.0,0.4611303864040311,10942,0.14314495028780744,0.16393442622950818,0.5245901639344263,0.10126994464343862,Low concern
BGD.3.1.25.2_1,Lalbagh,Ward No-59,DSCC,True,57413.0,0.4731959698611926,8433,0.14688311009701635,0.21311475409836064,0.3770491803278688,0.0944317811787691,Low concern
BGD.3.1.1.1_1,Adabor,Ward No-43,DNCC,True,19337.0,0.6883185731141644,4131,0.2136318973987692,0.9344262295081968,0.08196721311475409,0.08987300553565614,Low concern
BGD.3.1.27.4_1,Mohammadpur,Ward No-46,DNCC,True,44028.0,0.4789205077613162,6545,0.14865540110838557,0.26229508196721313,0.2459016393442623,0.07521979811136438,Low concern
BGD.3.1.18.1_1,Kafrul,Ward No-04,DNCC,True,95090.0,0.4154348206974306,12262,0.12895151961299822,0.08196721311475409,0.6065573770491803,0.057310322370563334,Low concern
BGD.3.1.35.4_1,Sabujbagh,Ward No-28,DSCC,True,20291.0,0.6010213409209991,3785,0.18653590261692377,0.7049180327868853,0.06557377049180328,0.05307717355910127,Low concern
BGD.3.1.28.3_1,Motijheel,Ward No-33,DSCC,True,64566.0,0.4467220783293061,8953,0.13866431248644798,0.09836065573770492,0.4262295081967213,0.04786714425268642,Low concern
BGD.3.1.8.2_1,Darus Salam,Ward No-10,DNCC,True,92956.0,0.40468450661112865,11677,0.12561857222772063,0.06557377049180328,0.5737704918032787,0.04265711494627157,Low concern
BGD.3.1.27.1_1,Mohammadpur,Ward No-42,DNCC,True,19674.0,0.5926497262128094,3619,0.1839483582393006,0.6885245901639344,0.04918032786885246,0.038098339303158577,Low concern
BGD.3.1.31.2_1,Pallabi,Ward No-03,DNCC,True,104226.0,0.38570708852860824,12479,0.11973020167712471,0.04918032786885246,0.6229508196721312,0.034190817323347444,Low concern
BGD.3.1.35.3_1,Sabujbagh,Ward No-27,DSCC,True,29572.0,0.497014308171145,4562,0.1542675503854998,0.2786885245901639,0.09836065573770492,0.030283295343536302,Low concern
