GID_4,NAME_3,NAME_4,city_corp,ward_no,n_fragments,observed,pop_total,ASI,arrivals_low,arrivals_central,arrivals_high,load_ratio_central,asi_rank,arrival_rank,crisis_index,crisis_tier
BGD.3.1.18.2_1+BGD.3.1.26.5_1,Kafrul,Ward No-14,DNCC,14.0,2.0,True,196759.0,0.6303136277325733,8910,16038,22275,0.08151088387316463,0.865546218487395,0.9663865546218487,1.0,High concern
BGD.3.1.6.3_1,Chak Bazar,Ward No-65,DSCC,65.0,1.0,True,119917.0,0.662733567163465,5430,9774,13575,0.08150637524287632,0.907563025210084,0.8739495798319328,0.948125581788948,High concern
BGD.3.1.25.3_1,Lalbagh,Ward No-60,DSCC,60.0,1.0,True,108822.0,0.6786411047218927,4927,8870,12319,0.08150925364356472,0.9411764705882353,0.8151260504201681,0.9169840060929169,High concern
BGD.3.1.34.1_1,Rampura,Ward No-22,DNCC,22.0,1.0,True,171433.0,0.6098862298554453,7763,13973,19408,0.08150706106758909,0.7899159663865546,0.9495798319327731,0.8965050351188963,High concern
BGD.3.1.25.4_1,Lalbagh,Ward No-61,DSCC,61.0,1.0,True,89085.0,0.7242894316211254,4034,7261,10085,0.08150642644665207,0.9663865546218487,0.7478991596638656,0.8637556063298637,High concern
BGD.3.1.33.3_1,Ramna,Ward No-55,DSCC,,1.0,True,144013.0,0.5921659742958832,6521,11738,16303,0.08150653066042648,0.7310924369747899,0.9243697478991597,0.8074807480748074,High concern
BGD.3.1.25.5_1,Lalbagh,Ward No-62,DSCC,62.0,1.0,True,96852.0,0.623008677634958,4385,7894,10964,0.08150580266798826,0.8403361344537815,0.7983193277310925,0.8015570787848015,High concern
BGD.3.1.3.1_1+BGD.3.1.6.1_1,Bangshal,Ward No-63,DSCC,63.0,2.0,True,81432.0,0.6551195954654265,3687,6637,9219,0.08150358581393063,0.8907563025210085,0.7394957983193278,0.7870017771007871,High concern
BGD.3.1.26.3_1,Mirpur,Ward No-12,DNCC,12.0,1.0,True,135408.0,0.5751846209149436,6131,11037,15329,0.08150921658986175,0.680672268907563,0.907563025210084,0.737919945840738,High concern
BGD.3.1.43.2_1,Tejgaon,Ward No-39,DNCC,39.0,1.0,True,74319.0,0.618622967704655,3365,6057,8413,0.08150002018326404,0.8319327731092437,0.7142857142857143,0.7097402047897097,High concern
BGD.3.1.26.1_1,Mirpur,Ward No-07,DNCC,7.0,1.0,True,130374.0,0.5598872046581033,5903,10627,14759,0.08151165109607744,0.6302521008403361,0.8907563025210085,0.6703901159346703,High concern
BGD.3.1.3.2_1+BGD.3.1.6.4_1,Bangshal,Ward No-66,DSCC,66.0,2.0,True,74874.0,0.59714871018298,3390,6103,8476,0.08151027058792104,0.7647058823529411,0.7226890756302521,0.6598967589066598,High concern
