GID_4,NAME_3,NAME_4,city_corp,ward_no,n_fragments,observed,pop_total,ASI,arrivals_low,arrivals_central,arrivals_high,load_ratio_central,asi_rank,arrival_rank,crisis_index,crisis_tier
BGD.3.1.18.2_1+BGD.3.1.26.5_1,Kafrul,Ward No-14,DNCC,14.0,2.0,True,196759.0,0.6303136277325733,13212,23782,33031,0.12086867690931545,0.8133333333333334,0.9466666666666667,1.0,High concern
BGD.3.1.6.3_1,Chak Bazar,Ward No-65,DSCC,65.0,1.0,True,119917.0,0.662733567163465,8052,14494,20131,0.12086693296196536,0.8666666666666667,0.8,0.9002314814814815,High concern
BGD.3.1.34.1_1,Rampura,Ward No-22,DNCC,22.0,1.0,True,171433.0,0.6098862298554453,11511,20721,28779,0.1208693775410802,0.7333333333333333,0.92,0.8759259259259258,High concern
BGD.3.1.25.3_1,Lalbagh,Ward No-60,DSCC,60.0,1.0,True,108822.0,0.6786411047218927,7307,13153,18268,0.12086710407821948,0.92,0.7066666666666667,0.8439814814814814,High concern
BGD.3.1.25.4_1,Lalbagh,Ward No-61,DSCC,61.0,1.0,True,89085.0,0.7242894316211254,5982,10767,14955,0.12086209799629567,0.96,0.6,0.7474537037037036,High concern
BGD.3.1.33.3_1,Ramna,Ward No-55,DSCC,,1.0,True,144013.0,0.5921659742958832,9670,17407,24176,0.12087103247623479,0.6533333333333333,0.88,0.7460648148148147,High concern
BGD.3.1.25.5_1,Lalbagh,Ward No-62,DSCC,62.0,1.0,True,96852.0,0.623008677634958,6503,11706,16259,0.12086482468095651,0.7866666666666666,0.68,0.6939814814814814,High concern
BGD.3.1.26.3_1,Mirpur,Ward No-12,DNCC,12.0,1.0,True,135408.0,0.5751846209149436,9092,16367,22732,0.12087173579109063,0.6266666666666667,0.8533333333333334,0.6937500000000001,High concern
BGD.3.1.31.4_1,Pallabi,Ward No-06,DNCC,6.0,1.0,True,228316.0,0.5270253451080223,15331,27597,38329,0.12087194940345837,0.5066666666666667,0.9866666666666667,0.6483796296296297,High concern
BGD.3.1.3.1_1+BGD.3.1.6.1_1,Bangshal,Ward No-63,DSCC,63.0,2.0,True,81432.0,0.6551195954654265,5468,9842,13670,0.12086157775812949,0.84,0.5866666666666667,0.6391203703703703,High concern
BGD.3.1.26.1_1,Mirpur,Ward No-07,DNCC,7.0,1.0,True,130374.0,0.5598872046581033,8754,15758,21886,0.12086765766180374,0.5866666666666667,0.8266666666666667,0.6289351851851852,High concern
BGD.3.1.43.2_1,Tejgaon,Ward No-39,DNCC,39.0,1.0,True,74319.0,0.618622967704655,4990,8983,12476,0.12087084056566962,0.7733333333333333,0.5466666666666666,0.5479166666666666,Moderate concern
BGD.3.1.42.2_1,Tejgaon Ind. Area,Ward No-37,DNCC,37.0,1.0,True,118586.0,0.5364045253533656,7963,14333,19908,0.12086586949555597,0.52,0.7733333333333333,0.5210648148148148,Moderate concern
BGD.3.1.3.2_1+BGD.3.1.6.4_1,Bangshal,Ward No-66,DSCC,66.0,2.0,True,74874.0,0.59714871018298,5027,9050,12569,0.12086972780938643,0.6933333333333334,0.56,0.5030092592592593,Moderate concern
BGD.3.1.22.3_1,Khilgaon,Ward No-24,DSCC,24.0,1.0,True,64277.0,0.6587519409029123,4316,7769,10790,0.12086749537159482,0.8533333333333334,0.4533333333333333,0.5011574074074074,Moderate concern
BGD.3.1.31.3_1,Pallabi,Ward No-05,DNCC,5.0,1.0,True,133703.0,0.514163695244269,8978,16160,22445,0.12086490205904131,0.44,0.84,0.4787037037037037,Moderate concern
BGD.3.1.18.4_1,Kafrul,Ward No-16,DNCC,16.0,1.0,True,144310.0,0.5059841256086244,9690,17443,24226,0.12087173446053634,0.41333333333333333,0.8933333333333333,0.47824074074074074,Moderate concern
BGD.3.1.26.2_1,Mirpur,Ward No-11,DNCC,11.0,1.0,True,114884.0,0.5217395717289116,7714,13886,19286,0.1208697468751088,0.48,0.76,0.4724537037037037,Moderate concern
BGD.3.1.6.2_1,Chak Bazar,Ward No-64,DSCC,64.0,1.0,True,57231.0,0.7525007122479992,3843,6917,9607,0.12086107179675351,0.9733333333333334,0.37333333333333335,0.4706018518518519,Moderate concern
BGD.3.1.38.2_1,Shahbagh,Ward No-57,DSCC,57.0,1.0,True,89430.0,0.5476673589064632,6005,10809,15013,0.12086548138208655,0.56,0.6266666666666667,0.4543981481481482,Moderate concern
BGD.3.1.26.4_1,Mirpur,Ward No-13,DNCC,13.0,1.0,True,173323.0,0.49855120113284707,11638,20949,29097,0.12086682090663098,0.37333333333333335,0.9333333333333333,0.4511574074074074,Moderate concern
BGD.3.1.3.3_1+BGD.3.1.6.5_1,Bangshal,Ward No-67,DSCC,67.0,2.0,True,55331.0,0.702858155597931,3715,6687,9288,0.1208544938641991,0.9466666666666667,0.36,0.4412037037037037,Moderate concern
BGD.3.1.34.2_1,Rampura,Ward No-23,DNCC,23.0,1.0,True,69353.0,0.5614285744875551,4657,8382,11642,0.12085994838002682,0.6133333333333333,0.49333333333333335,0.3914351851851852,Moderate concern
BGD.3.1.19.1_1,Kalabagan,Ward No-50,DSCC,50.0,1.0,True,52971.0,0.6733517694394856,3557,6402,8892,0.12085858299824433,0.9066666666666666,0.3333333333333333,0.39097222222222217,Moderate concern
BGD.3.1.24.1_1+BGD.3.1.3.4_1,Bangshal,Ward No-68,DSCC,68.0,2.0,True,48338.0,0.6333708264807429,3245,5842,8114,0.1208572965368861,0.8266666666666667,0.29333333333333333,0.31319444444444444,Moderate concern
BGD.3.1.2.6_1,Badda,Ward No-21,DNCC,21.0,1.0,True,89189.0,0.5024681220517723,5989,10780,14972,0.1208669230510489,0.38666666666666666,0.6133333333333333,0.30624999999999997,Moderate concern
BGD.3.1.15.3_1,Hazaribagh,Ward No-58,DSCC,58.0,1.0,True,69593.0,0.5210773340101024,4673,8411,11683,0.12085985659477247,0.4666666666666667,0.5066666666666667,0.3053240740740741,Moderate concern
BGD.3.1.41.1_1,Sutrapur,Ward No-74,DSCC,74.0,1.0,True,64090.0,0.5400168094183295,4303,7746,10759,0.12086128881260727,0.5333333333333333,0.44,0.30300925925925926,Moderate concern
BGD.3.1.42.3_1+BGD.3.1.43.1_1,Tejgaon,Ward No-38,DNCC,38.0,2.0,True,109541.0,0.49278916658590666,7355,13240,18389,0.12086798550314494,0.32,0.72,0.2974537037037037,Moderate concern
BGD.3.1.33.1_1,Ramna,Ward No-53,DSCC,53.0,1.0,True,65763.0,0.5076058879221517,4416,7948,11040,0.1208582333531013,0.4266666666666667,0.48,0.2641203703703704,Low concern
BGD.3.1.11.2_1+BGD.3.1.15.2_1,Dhanmondi,Ward No-48,DSCC,48.0,2.0,True,63031.0,0.5221417611103931,4232,7618,10581,0.12086116355444146,0.49333333333333335,0.41333333333333333,0.262962962962963,Low concern
BGD.3.1.37.1_1,Shah Ali,Ward No-08,DNCC,8.0,1.0,True,145193.0,0.46602697320564146,9749,17549,24374,0.1208667084501319,0.21333333333333335,0.9066666666666666,0.24930555555555556,Low concern
BGD.3.1.28.4_1,Motijheel,Ward No-34,DSCC,34.0,1.0,True,44877.0,0.6043272045385819,3013,5424,7533,0.120863694097199,0.72,0.26666666666666666,0.24745370370370373,Low concern
BGD.3.1.27.3_1,Mohammadpur,Ward No-45,DNCC,45.0,1.0,True,50260.0,0.5611903920069886,3375,6075,8437,0.12087146836450458,0.6,0.30666666666666664,0.23703703703703702,Low concern
BGD.3.1.11.1_1+BGD.3.1.27.5_1,Dhanmondi,Ward No-47,DNCC,47.0,2.0,True,94607.0,0.47776019727728236,6352,11435,15882,0.12086843468242307,0.28,0.6533333333333333,0.23564814814814816,Low concern
BGD.3.1.19.2_1+BGD.3.1.27.6_1,Kalabagan,Ward No-51,DSCC,51.0,2.0,True,70701.0,0.4910605300045026,4747,8545,11869,0.12086109107367647,0.30666666666666664,0.5333333333333333,0.21041666666666664,Low concern
BGD.3.1.24.4_1,Kotwali,Ward No-73,DSCC,73.0,1.0,True,46137.0,0.5565129616907981,3098,5576,7745,0.12085744630123328,0.5733333333333334,0.28,0.20648148148148152,Low concern
BGD.3.1.11.3_1,Dhanmondi,Ward No-49,DSCC,49.0,1.0,True,61292.0,0.5053638674657468,4115,7408,10289,0.12086406056255303,0.4,0.4,0.2057870370370371,Low concern
BGD.3.1.18.3_1+BGD.3.1.31.5_1+BGD.3.1.5.1_1,Cantonment,Ward No-15,DNCC,15.0,3.0,True,222753.0,0.4598875308168298,14958,26924,37395,0.12086930366818853,0.16,0.9733333333333334,0.20023148148148148,Low concern
BGD.3.1.14.3_1+BGD.3.1.42.1_1,Gulshan,Ward No-20,DNCC,20.0,2.0,True,114736.0,0.4652226099359142,7704,13868,19261,0.12086877701854692,0.2,0.7466666666666667,0.19189814814814818,Low concern
BGD.3.1.4.2_1+BGD.3.1.46.1_1,Biman Bandar,Ward No-01,DNCC,1.0,2.0,True,119514.0,0.46320097152008377,8025,14445,20063,0.12086450122998142,0.18666666666666668,0.7866666666666666,0.1886574074074074,Low concern
BGD.3.1.22.4_1,Khilgaon,Ward No-25,DSCC,25.0,1.0,True,31420.0,0.6731967564146315,2109,3797,5274,0.12084659452577975,0.8933333333333333,0.16,0.18356481481481482,Low concern
BGD.3.1.39.2_1,Sher-e-bangla Nagar,Ward No-41,DNCC,41.0,1.0,True,38608.0,0.5924295545607835,2592,4666,6481,0.12085578118524658,0.6666666666666666,0.21333333333333335,0.1826388888888889,Low concern
BGD.3.1.28.2_1,Motijheel,Ward No-32,DSCC,32.0,1.0,True,32307.0,0.6169500800887215,2169,3905,5423,0.12087163772557032,0.76,0.18666666666666668,0.18217592592592594,Low concern
BGD.3.1.27.2_1,Mohammadpur,Ward No-44,DNCC,44.0,1.0,True,31861.0,0.6302331385737522,2139,3851,5348,0.12086877373591538,0.8,0.17333333333333334,0.1780092592592593,Low concern
BGD.3.1.33.2_1,Ramna,Ward No-54,DNCC,54.0,1.0,True,70120.0,0.4751508630459885,4708,8475,11771,0.12086423274386765,0.25333333333333335,0.52,0.1689814814814815,Low concern
BGD.3.1.35.5_1,Sabujbagh,Ward No-29,DSCC,29.0,1.0,True,55010.0,0.4979100631703839,3693,6649,9234,0.12086893292128705,0.36,0.3466666666666667,0.15995370370370368,Low concern
BGD.3.1.30.1_1,New Market,Ward No-52,DSCC,52.0,1.0,True,41955.0,0.5402890356796525,2817,5071,7043,0.1208675962340603,0.5466666666666666,0.22666666666666666,0.15879629629629627,Low concern
BGD.3.1.22.5_1,Khilgaon,Ward No-26,DSCC,26.0,1.0,True,43318.0,0.5159901354605423,2908,5235,7272,0.12085045477630546,0.4533333333333333,0.24,0.13912037037037037,Low concern
