GID_4,NAME_2,NAME_3,NAME_4,pop,builtup,flood,pop_norm,builtup_norm,flood_norm,ASI,stress_tier,hh_total_x,pop_total_x,hh_size_x,elec_coverage_x,hh_size_norm,ASI_updated,city_corp,pop_total_y,hh_total_y,hh_size_y,elec_coverage_y,pop_total,hh_total,hh_size,elec_coverage,pop_share,arrivals_low,arrivals_central,arrivals_high,load_ratio_central,asi_rank,arrival_rank,crisis_index,crisis_tier
BGD.3.1.1.1_1,Dhaka,Adabor,Ward No-43,806.0263661168439,0.4292119386503067,0.8979591836734694,0.4178714159645864,0.8018869631674616,0.8979591836734694,0.6722987994128135,High stress,8676.0,37548.0,4.22,99.93,0.8376068376068373,0.693839940635532,DNCC,19337.0,4738.0,4.05,99.89,19337.0,4738.0,4.05,99.89,0.0014717594501006796,626,1128,1566,0.058333764286083674,0.9565217391304348,0.019021739130434784,0.022627093740816926,Low concern
BGD.3.1.1.1_1,Dhaka,Adabor,Ward No-43,806.0263661168439,0.4292119386503067,0.8979591836734694,0.4178714159645864,0.8018869631674616,0.8979591836734694,0.6722987994128135,High stress,4738.0,19337.0,4.05,99.89,0.6923076923076921,0.6647801115757029,DNCC,19337.0,4738.0,4.05,99.89,19337.0,4738.0,4.05,99.89,0.0014717594501006796,626,1128,1566,0.058333764286083674,0.9347826086956522,0.019021739130434784,0.02211284161034382,Low concern
BGD.3.1.1.2_1,Dhaka,Adabor,Ward No-46,903.248519444808,0.3969784688995215,0.7169811320754718,0.4684624392639367,0.7416659002303788,0.7169811320754718,0.6262133238050752,Moderate stress,10586.0,43510.0,3.82,99.95,0.4957264957264954,0.591919854360366,DNCC,44028.0,12043.0,3.62,99.83,44028.0,12043.0,3.62,99.83,0.003351017483013535,1426,2568,3567,0.0583265194875988,0.782608695652174,0.1875,0.18248604172788718,Low concern
BGD.3.1.1.2_1,Dhaka,Adabor,Ward No-46,903.248519444808,0.3969784688995215,0.7169811320754718,0.4684624392639367,0.7416659002303788,0.7169811320754718,0.6262133238050752,Moderate stress,12043.0,44028.0,3.62,99.83,0.3247863247863247,0.5577318201723318,DNCC,44028.0,12043.0,3.62,99.83,44028.0,12043.0,3.62,99.83,0.003351017483013535,1426,2568,3567,0.0583265194875988,0.6304347826086957,0.1875,0.14700264472524244,Low concern
BGD.3.1.2.1_1,Dhaka,Badda,Badda,731.0169301068607,0.341654255248692,0.8326572008113592,0.3788391173067795,0.6383049224029747,0.8326572008113592,0.5831066699665928,Moderate stress,,,,,,0.5831066699665928,DNCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.75,0.5027173913043478,0.46888774610637673,Moderate concern
BGD.3.1.2.2_1,Dhaka,Badda,Beraid,107.2789983526918,0.0344890315960796,0.9743710322125556,0.0542676162866782,0.0644350781484189,0.9743710322125556,0.2878520819197568,Low stress,,,,,,0.2878520819197568,DNCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.021739130434782608,0.5027173913043478,0.013590949162503672,Low concern
BGD.3.1.2.3_1,Dhaka,Badda,Bhatara,689.6443995683449,0.2525293779938011,0.9258684863523576,0.3573102930133445,0.4717949287869196,0.9258684863523576,0.539519463868849,Moderate stress,,,,,,0.539519463868849,DNCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.532608695652174,0.5027173913043478,0.33297825448134,Moderate concern
BGD.3.1.2.4_1,Dhaka,Badda,Satarkul,180.89735914441152,0.0332525420133405,0.9663259170174388,0.0925760478383852,0.0621249726103278,0.9663259170174388,0.3003556388033285,Low stress,,,,,,0.3003556388033285,DNCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.02717391304347826,0.5027173913043478,0.01698868645312959,Low concern
BGD.3.1.2.5_1,Dhaka,Badda,Ward No-17 (Part),363.9541883276231,0.3907141165882026,0.2444889779559118,0.1878324476742577,0.729962352405193,0.2444889779559118,0.3917420469004986,Moderate stress,,,,,,0.3917420469004986,DNCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.11413043478260869,0.5027173913043478,0.07135248310314428,Low concern
BGD.3.1.2.6_1,Dhaka,Badda,Ward No-21,416.2970172557662,0.3386625613629801,0.9950738916256158,0.2150698332619304,0.6327156083398944,0.9950738916256158,0.5562468691301391,Moderate stress,4416.0,35218.0,4.41,100.0,1.0,0.6324681220517724,DNCC,89189.0,25251.0,3.59,99.9,89189.0,25251.0,3.59,99.9,0.006788268790144775,2890,5203,7226,0.0583367904113736,0.875,0.8016304347826086,0.8723001763150161,High concern
