GID_4,NAME_2,NAME_3,NAME_4,pop,builtup,flood,pop_norm,builtup_norm,flood_norm,ASI,stress_tier
BGD.3.1.1.1_1,Dhaka,Adabor,Ward No-43,806.0263661168439,0.4292119386503067,0.8979591836734694,0.4178714159645864,0.8018869631674616,0.8979591836734694,0.6722987994128135,High stress
BGD.3.1.1.2_1,Dhaka,Adabor,Ward No-46,903.248519444808,0.3969784688995215,0.7169811320754718,0.46846243926393677,0.7416659002303788,0.7169811320754718,0.6262133238050752,Moderate stress
BGD.3.1.2.1_1,Dhaka,Badda,Badda,731.0169301068607,0.341654255248692,0.8326572008113592,0.37883911730677955,0.6383049224029747,0.8326572008113592,0.5831066699665928,Moderate stress
BGD.3.1.2.2_1,Dhaka,Badda,Beraid,107.2789983526918,0.0344890315960796,0.9743710322125556,0.054267616286678276,0.06443507814841892,0.9743710322125556,0.28785208191975686,Low stress
BGD.3.1.2.3_1,Dhaka,Badda,Bhatara,689.6443995683449,0.2525293779938011,0.9258684863523576,0.3573102930133445,0.4717949287869196,0.9258684863523576,0.539519463868849,Moderate stress
BGD.3.1.2.4_1,Dhaka,Badda,Satarkul,180.89735914441152,0.0332525420133405,0.9663259170174388,0.09257604783838522,0.06212497261032789,0.9663259170174388,0.30035563880332855,Low stress
BGD.3.1.2.5_1,Dhaka,Badda,Ward No-17 (Part),363.9541883276231,0.3907141165882026,0.2444889779559118,0.1878324476742577,0.729962352405193,0.2444889779559118,0.3917420469004986,Moderate stress
BGD.3.1.2.6_1,Dhaka,Badda,Ward No-21,416.2970172557662,0.3386625613629801,0.9950738916256158,0.2150698332619304,0.6327156083398944,0.9950738916256158,0.5562468691301391,Moderate stress
BGD.3.1.3.1_1,Dhaka,Bangshal,Ward No-63 (Part),1198.7332164898794,0.4750379403794037,0.6670908111974161,0.6222223867769375,0.8875026463570004,0.6670908111974161,0.7262875837350791,High stress
BGD.3.1.3.2_1,Dhaka,Bangshal,Ward No-66 (Part),716.2814121997264,0.3017220472440945,1.0,0.37117126688123875,0.5637004808068924,1.0,0.5957636750349078,Moderate stress
BGD.3.1.3.3_1,Dhaka,Bangshal,Ward No-67 (part),1040.3577946368312,0.4958383507853403,0.6670908111974161,0.5398093319047267,0.9263635829504784,0.6670908111974161,0.7069236895939122,High stress
BGD.3.1.3.4_1,Dhaka,Bangshal,Ward No-68 (part),1148.910685536293,0.4928049535603714,0.0,0.5962964764980042,0.9206963554813173,0.0,0.5607623150176627,Moderate stress
BGD.3.1.3.5_1,Dhaka,Bangshal,Ward No-69,1526.113882512792,0.535252421307506,0.6670908111974161,0.7925798859227429,1.0,0.6670908111974161,0.8338046571684512,High stress
BGD.3.1.3.6_1,Dhaka,Bangshal,Ward No-70,1924.7187894505385,0.3866835761589404,0.6670908111974161,1.0,0.7224321848266579,0.6670908111974161,0.8196239674886843,High stress
BGD.3.1.3.7_1,Dhaka,Bangshal,Ward No-71 (Part),1245.8289369491977,0.4350477006311993,0.0,0.646729359822676,0.812789785366074,0.0,0.5431681688071963,Moderate stress
