GID_4,NAME_2,NAME_3,NAME_4,pop,builtup,flood,pop_norm,builtup_norm,flood_norm,ASI,stress_tier,city_corp,hh_total,pop_total,hh_size,elec_coverage,hh_size_norm,ASI_updated,corp_spatial
BGD.3.1.2.1_1,Dhaka,Badda,Badda,731.0169301068607,0.341654255248692,0.8326572008113592,0.3788391173067795,0.6383049224029747,0.8326572008113592,0.5831066699665928,Moderate stress,,,,,,,0.5831066699665928,DNCC
BGD.3.1.2.2_1,Dhaka,Badda,Beraid,107.2789983526918,0.0344890315960796,0.9743710322125556,0.0542676162866782,0.0644350781484189,0.9743710322125556,0.2878520819197568,Low stress,,,,,,,0.2878520819197568,DNCC
BGD.3.1.2.3_1,Dhaka,Badda,Bhatara,689.6443995683449,0.2525293779938011,0.9258684863523576,0.3573102930133445,0.4717949287869196,0.9258684863523576,0.539519463868849,Moderate stress,,,,,,,0.539519463868849,DNCC
BGD.3.1.2.4_1,Dhaka,Badda,Satarkul,180.89735914441152,0.0332525420133405,0.9663259170174388,0.0925760478383852,0.0621249726103278,0.9663259170174388,0.3003556388033285,Low stress,,,,,,,0.3003556388033285,DNCC
BGD.3.1.2.5_1,Dhaka,Badda,Ward No-17 (Part),363.9541883276231,0.3907141165882026,0.2444889779559118,0.1878324476742577,0.729962352405193,0.2444889779559118,0.3917420469004986,Moderate stress,,,,,,,0.3917420469004986,DNCC
BGD.3.1.3.1_1,Dhaka,Bangshal,Ward No-63 (Part),1198.7332164898794,0.4750379403794037,0.6670908111974161,0.6222223867769375,0.8875026463570004,0.6670908111974161,0.7262875837350791,High stress,,,,,,,0.7262875837350791,DSCC
BGD.3.1.3.2_1,Dhaka,Bangshal,Ward No-66 (Part),716.2814121997264,0.3017220472440945,1.0,0.3711712668812387,0.5637004808068924,1.0,0.5957636750349078,Moderate stress,,,,,,,0.5957636750349078,DSCC
BGD.3.1.3.3_1,Dhaka,Bangshal,Ward No-67 (part),1040.3577946368312,0.4958383507853403,0.6670908111974161,0.5398093319047267,0.9263635829504784,0.6670908111974161,0.7069236895939122,High stress,,,,,,,0.7069236895939122,DSCC
BGD.3.1.3.4_1,Dhaka,Bangshal,Ward No-68 (part),1148.910685536293,0.4928049535603714,0.0,0.5962964764980042,0.9206963554813172,0.0,0.5607623150176627,Moderate stress,,,,,,,0.5607623150176627,DSCC
BGD.3.1.3.5_1,Dhaka,Bangshal,Ward No-69,1526.113882512792,0.535252421307506,0.6670908111974161,0.7925798859227429,1.0,0.6670908111974161,0.8338046571684512,High stress,DSCC,5457.0,20157.0,3.71,99.9,0.46999999999999975,0.7411630026543234,DSCC
BGD.3.1.3.6_1,Dhaka,Bangshal,Ward No-70,1924.7187894505385,0.3866835761589404,0.6670908111974161,1.0,0.7224321848266579,0.6670908111974161,0.8196239674886843,High stress,DSCC,5344.0,22417.0,4.0,99.67,0.7599999999999998,0.7939407383606776,DSCC
BGD.3.1.3.7_1,Dhaka,Bangshal,Ward No-71 (Part),1245.8289369491977,0.4350477006311993,0.0,0.646729359822676,0.812789785366074,0.0,0.5431681688071963,Moderate stress,,,,,,,0.5431681688071963,DSCC
