GID_4,NAME_3,NAME_4,pop,builtup,flood,city_corp,corp_spatial,hh_total,pop_total,hh_size,elec_coverage,area_km2,ward_no,n_fragments,pop_norm,builtup_norm,flood_norm,hh_size_norm,ASI,stress_tier
BGD.3.1.4.2_1+BGD.3.1.46.1_1,Biman Bandar,Ward No-01,276.60068534682676,0.39129548565393174,0.9530349475604751,DNCC,DNCC,33980.0,119514.0,3.44,99.87,7.155434451191325,1.0,2.0,0.14237672638742824,0.7310485110895555,0.9530349475604751,0.19999999999999973,0.46320097152008377,Moderate stress
BGD.3.1.31.1_1,Pallabi,Ward No-02,107.90560243851895,0.2927339117280655,0.9904191616766469,DNCC,DNCC,63627.0,208062.0,3.24,99.89,2.513291592476324,2.0,1.0,0.05459367923447797,0.5469081503881473,0.9904191616766469,0.0,0.35391865766443353,Moderate stress
BGD.3.1.31.2_1,Pallabi,Ward No-03,314.03439510508605,0.4219020473157417,0.0,DNCC,DNCC,26576.0,104226.0,3.9,99.93,0.9827976062435623,3.0,1.0,0.16185592549725186,0.7882300584182808,0.0,0.6599999999999997,0.3857070885286083,Moderate stress
BGD.3.1.18.1_1,Kafrul,Ward No-04,444.41029738563003,0.3042341893830702,0.6547085201793723,DNCC,DNCC,22952.0,95090.0,3.55,99.95,1.5573732909340767,4.0,1.0,0.2296990053321402,0.5683938591812285,0.6547085201793723,0.3099999999999996,0.4154348206974306,Moderate stress
BGD.3.1.31.3_1,Pallabi,Ward No-05,167.3806421715639,0.407817742987606,0.9787234042553192,DNCC,DNCC,35792.0,133703.0,3.73,99.94,1.3740998726412237,5.0,1.0,0.08554241898018373,0.7619166710005633,0.9787234042553192,0.48999999999999977,0.514163695244269,Moderate stress
BGD.3.1.31.4_1,Pallabi,Ward No-06,775.3533809465025,0.2797414137380192,0.958490566037736,DNCC,DNCC,64524.0,228316.0,3.56,99.95,4.478950613493283,6.0,1.0,0.40191026252069306,0.5226345600729303,0.958490566037736,0.31999999999999984,0.5270253451080223,Moderate stress
BGD.3.1.26.1_1,Mirpur,Ward No-07,1547.5918076812704,0.3609153916628493,0.0,DNCC,DNCC,33574.0,130374.0,3.79,99.93,0.9775092637951104,7.0,1.0,0.8037562503152775,0.6742900681910247,0.0,0.5499999999999998,0.5598872046581033,Moderate stress
BGD.3.1.37.1_1,Shah Ali,Ward No-08,743.287396770309,0.1801943764413695,0.9551760939167556,DNCC,DNCC,40489.0,145193.0,3.52,99.94,3.780564365853403,8.0,1.0,0.38522424089862517,0.33665308043108627,0.9551760939167556,0.2799999999999998,0.46602697320564146,Moderate stress
BGD.3.1.8.1_1,Darus Salam,Ward No-09,267.47564556136905,0.222318845184617,0.9456106870229009,DNCC,DNCC,19498.0,76440.0,3.84,99.97,2.0426688556927495,9.0,1.0,0.13762837341857043,0.41535327321180554,0.9456106870229009,0.5999999999999996,0.46113038640403115,Moderate stress
BGD.3.1.8.2_1,Darus Salam,Ward No-10,322.6992011995866,0.2332555245603395,0.9675516224188792,DNCC,DNCC,27309.0,92956.0,3.46,99.94,1.8432523592405115,10.0,1.0,0.16636478887875386,0.4357860240791562,0.9675516224188792,0.21999999999999975,0.40468450661112865,Moderate stress
BGD.3.1.26.2_1,Mirpur,Ward No-11,581.2097339757116,0.3637243237299318,0.7727272727272727,DNCC,DNCC,30763.0,114884.0,3.7,99.94,1.0179253905636798,11.0,1.0,0.3008846687531146,0.679537932479468,0.7727272727272727,0.45999999999999996,0.5217395717289116,Moderate stress
BGD.3.1.26.3_1,Mirpur,Ward No-12,597.1200356646925,0.381764746703678,0.8333333333333334,DNCC,DNCC,34790.0,135408.0,3.85,99.93,1.6119147118277257,12.0,1.0,0.30916383575254996,0.7132424469395378,0.8333333333333334,0.6099999999999999,0.5751846209149436,Moderate stress
BGD.3.1.26.4_1,Mirpur,Ward No-13,1017.7461022913727,0.4362010768899418,0.0,DNCC,DNCC,45362.0,173323.0,3.79,99.98,2.076105460911908,13.0,1.0,0.5280429945512648,0.8149446121596177,0.0,0.5499999999999998,0.49855120113284707,Moderate stress
