series,n,lag1_autocorr,ols_slope,ols_p,sens_slope,mk_p,mk_p_autocorr_corrected,variance_inflation,survives_strict_test
Barind Tract (NW) 2002-2017,16,0.7237954825142684,-0.8976048109068419,0.003926386718294613,-0.904769431341919,0.010279478485212934,0.010279478485212934,1.0,True
Barind Tract (NW) 2002-2024,22,0.49653676891287524,-0.4308186562064334,0.020266687421547046,-0.5662758685577232,0.017854292789382997,0.0015579179080122962,0.5605442176870747,True
Haor Basin (NE) 2002-2017,16,0.1301875013432495,-0.3091113871998841,0.40395240760745,-0.5984517402624611,0.22413430196016693,0.22413430196016693,1.0,False
Haor Basin (NE) 2002-2024,22,0.40131766664137825,0.35897090422241495,0.12132702977124307,0.3425804878265867,0.1758957490227675,0.1542608484910275,0.902621602000484,False
Coastal South (SW) 2002-2017,16,0.5493428096368193,-0.5717992382097091,0.0015998858836310896,-0.5613407318013203,0.007899662130493645,0.001457806671118833,0.6964705882352941,True
Coastal South (SW) 2002-2024,22,0.28195415885769415,-0.2638233581964062,0.026054332118367402,-0.3156290268721751,0.02076499853542102,0.009468278610355707,0.7941437444543035,True
Central Floodplain 2002-2017,16,0.13321323909732344,-0.31504084249859793,0.3963879574179795,-0.6097130777714312,0.22413430196016693,0.22413430196016693,1.0,False
Central Floodplain 2002-2024,22,0.4044043264546348,0.3610404590105907,0.12138083862912413,0.3488761699488697,0.1758957490227675,0.11502815288098334,0.7375816729853997,False
Barind MASCON 2002-2017,16,0.7237954825142684,-0.8976048109068419,0.003926386718294613,-0.904769431341919,0.010279478485212934,0.010279478485212934,1.0,True
Barind MASCON 2002-2024,22,0.49653676891287524,-0.4308186562064334,0.020266687421547046,-0.5662758685577232,0.017854292789382997,0.0015579179080122962,0.5605442176870747,True
"CHIRPS Aman rainfall, Barind",39,-0.06944955914488436,-4.943777484987339,0.13819552435819119,-6.488749410611035,0.062473751784394294,0.0630227811124584,1.0041867992006497,False
"MODIS NDVI Aman, Barind",23,0.8150101145748881,0.005870124720909536,2.0880872901182148e-10,0.005841050086971117,2.2614828676381649e-07,2.2614828676381649e-07,1.0,True
